timestamp_sec,module_id,range_m,self_range_error
148.850671,102.0,15.621,0.055
148.871699,103.0,11.697,0.055
148.892718,100.0,10.497,0.024
148.913744,101.0,3.569,0.055
148.934977,102.0,15.62,0.055
148.956003,103.0,11.693,0.055
148.977024,100.0,10.492,0.055
148.99806,101.0,3.587,0.055
149.019065,102.0,15.598,0.055
149.040113,103.0,11.697,0.055
149.061189,100.0,10.478,0.055
149.082198,101.0,3.574,0.055
149.103197,102.0,15.583,0.024
149.124249,103.0,11.659,0.055
149.145246,100.0,10.465,0.024
149.16627,101.0,3.576,0.055
149.187319,102.0,15.61,0.024
149.208315,103.0,11.661,0.055
149.229314,100.0,10.454,0.055
149.250342,101.0,3.597,0.055
149.271389,102.0,15.564,0.055
149.292429,103.0,11.661,0.024
149.313451,100.0,10.446,0.055
149.334481,101.0,3.589,0.024
149.35552,102.0,15.547,0.055
149.376545,103.0,11.662,0.055
149.397563,100.0,10.419,0.055
149.418583,101.0,3.599,0.055
149.439622,102.0,15.532,0.055
149.460627,103.0,11.656,0.055
149.481653,100.0,10.41,0.055
149.502659,101.0,3.608,0.024
149.523687,102.0,15.506,0.024
149.544722,103.0,11.635,0.055
149.565779,100.0,10.385,0.024
149.586827,101.0,3.61,0.055
149.608723,102.0,15.492,0.055
149.629748,103.0,11.624,0.055
149.652109,100.0,10.381,0.055
149.673129,101.0,3.621,0.055
149.694275,102.0,15.499,0.055
149.7153,103.0,11.615,0.055
149.748924,101.0,3.63,0.024
149.769967,102.0,15.459,0.024
149.790981,103.0,11.602,0.024
149.811994,100.0,10.352,0.024
149.833055,101.0,3.637,0.024
149.854064,102.0,15.434,0.024
149.875098,103.0,11.586,0.024
149.896963,100.0,10.356,0.055
149.917944,101.0,3.676,0.055
149.938964,102.0,15.408,0.055
149.959972,103.0,11.555,0.024
149.981014,100.0,10.346,0.055
150.002021,101.0,3.683,0.055
150.023037,102.0,15.369,0.055
150.044056,103.0,11.529,0.024
150.065093,100.0,10.349,0.055
150.086105,101.0,3.708,0.024
150.107144,102.0,15.352,0.055
150.128154,103.0,11.491,0.055
150.149179,100.0,10.344,0.055
150.170227,101.0,3.723,0.055
150.191275,102.0,15.324,0.055
150.212302,103.0,11.475,0.024
150.233347,100.0,10.329,0.055
150.255986,101.0,3.747,0.024
150.277003,102.0,15.292,0.055
150.298047,103.0,11.465,0.055
150.319076,100.0,10.346,0.024
150.340134,101.0,3.773,0.055
150.361158,102.0,15.274,0.024
150.382175,103.0,11.434,0.055
150.403203,100.0,10.322,0.055
150.424258,101.0,3.798,0.024
150.445273,102.0,15.247,0.055
150.4663,103.0,11.41,0.055
150.487328,100.0,10.316,0.055
150.508371,101.0,3.803,0.055
150.529403,102.0,15.22,0.055
150.550476,103.0,11.393,0.024
150.571516,100.0,10.304,0.055
150.592555,101.0,3.832,0.024
150.613593,102.0,15.182,0.055
150.634646,103.0,11.363,0.055
150.655675,100.0,10.31,0.024
150.676716,101.0,3.841,0.055
150.697756,102.0,15.153,0.055
150.718793,103.0,11.328,0.055
150.7398,100.0,10.31,0.055
150.761415,101.0,3.879,0.024
150.782448,102.0,15.127,0.055
150.803504,103.0,11.29,0.055
150.824524,100.0,10.32,0.055
150.84561,101.0,3.896,0.024
150.866744,102.0,15.09,0.024
150.889189,103.0,11.25,0.024
150.910225,100.0,10.326,0.055
150.931247,101.0,3.924,0.055
150.954335,102.0,15.069,0.055
150.97536,103.0,11.212,0.055
150.996378,100.0,10.332,0.055
151.017423,101.0,3.94,0.024
151.038453,102.0,15.047,0.055
151.059506,103.0,11.179,0.024
151.080536,100.0,10.367,0.024
151.101582,101.0,3.963,0.055
151.122592,102.0,15.013,0.055
151.143629,103.0,11.125,0.055
151.164638,100.0,10.38,0.024
151.187268,101.0,3.984,0.055
151.353501,103.0,11.021,0.055
151.374542,100.0,10.456,0.055
151.395551,101.0,4.04,0.055
151.416572,102.0,14.952,0.055
151.437608,103.0,10.951,0.055
151.458664,100.0,10.48,0.055
151.47967,101.0,4.04,0.024
151.500733,102.0,14.929,0.024
151.521788,103.0,10.923,0.055
151.542832,100.0,10.516,0.055
151.563884,101.0,4.088,0.055
151.584919,102.0,14.918,0.055
151.605924,103.0,10.863,0.055
151.626967,100.0,10.57,0.024
151.648025,101.0,4.12,0.055
151.669051,102.0,14.9,0.055
151.690084,103.0,10.824,0.055
151.711138,100.0,10.596,0.055
151.732152,101.0,4.137,0.055
151.753589,102.0,14.882,0.055
151.774616,103.0,10.768,0.055
151.795633,100.0,10.642,0.055
151.816672,101.0,4.177,0.024
151.837674,102.0,14.865,0.024
151.858706,103.0,10.719,0.055
151.904953,101.0,4.203,0.055
151.92599,102.0,14.852,0.055
151.947005,103.0,10.666,0.055
151.968045,100.0,10.721,0.055
151.989055,101.0,4.239,0.024
152.010077,102.0,14.834,0.055
152.031098,103.0,10.609,0.055
152.052176,100.0,10.76,0.055
152.07325,101.0,4.272,0.024
152.094286,102.0,14.824,0.024
152.115277,103.0,10.558,0.055
152.137849,100.0,10.8,0.055
152.158855,101.0,4.29,0.055
152.179916,102.0,14.801,0.055
152.201107,103.0,10.505,0.055
152.222693,100.0,10.837,0.055
152.243722,101.0,4.332,0.055
152.2655,102.0,14.761,0.055
152.28652,103.0,10.44,0.024
152.307529,100.0,10.873,0.055
152.329621,101.0,4.35,0.055
152.350693,102.0,14.742,0.055
152.371728,103.0,10.374,0.055
152.393434,100.0,10.909,0.024
152.414748,101.0,4.393,0.055
152.435793,102.0,14.719,0.024
152.45695,103.0,10.325,0.055
152.477971,100.0,10.95,0.055
152.499009,101.0,4.432,0.055
152.532201,103.0,10.265,0.055
152.553255,100.0,10.973,0.055
152.574377,101.0,4.461,0.055
152.596098,102.0,14.685,0.024
152.617719,103.0,10.21,0.024
152.638745,100.0,11.003,0.055
152.659804,101.0,4.496,0.055
152.680828,102.0,14.636,0.055
152.701898,103.0,10.139,0.024
152.722908,100.0,11.043,0.055
152.74545,101.0,4.532,0.024
152.766466,102.0,14.608,0.055
152.787472,103.0,10.063,0.055
152.809192,100.0,11.087,0.055
152.830227,101.0,4.569,0.055
152.851251,102.0,14.583,0.055
152.874631,103.0,10.017,0.024
152.895643,100.0,11.127,0.055
152.916665,101.0,4.616,0.024
152.937668,102.0,14.561,0.055
152.958712,103.0,9.935,0.055
152.979776,100.0,11.166,0.055
153.001281,101.0,4.65,0.055
153.022309,102.0,14.521,0.024
153.043327,103.0,9.865,0.024
153.064368,100.0,11.198,0.024
153.085391,101.0,4.697,0.055
153.106387,102.0,14.493,0.055
153.127497,103.0,9.798,0.024
153.148525,100.0,11.242,0.055
153.169546,101.0,4.75,0.055
153.190572,102.0,14.453,0.055
153.211594,103.0,9.736,0.055
153.23263,100.0,11.27,0.024
153.253655,101.0,4.788,0.024
153.274665,102.0,14.429,0.055
153.295675,103.0,9.66,0.055
153.316718,100.0,11.306,0.055
153.337749,101.0,4.856,0.055
153.358763,102.0,14.402,0.024
153.379803,103.0,9.598,0.055
153.400854,100.0,11.35,0.024
153.421894,101.0,4.9,0.024
153.442911,102.0,14.358,0.055
153.463924,103.0,9.532,0.055
153.487359,100.0,11.386,0.055
153.508366,101.0,4.961,0.055
153.529393,102.0,14.327,0.055
153.550467,103.0,9.474,0.055
153.571498,100.0,11.419,0.055
153.592521,101.0,5.017,0.055
153.613557,102.0,14.285,0.055
153.634591,103.0,9.385,0.055
153.655599,100.0,11.456,0.055
153.67901,101.0,5.055,0.055
153.700023,102.0,14.247,0.055
153.721454,103.0,9.317,0.055
153.742469,100.0,11.5,0.024
153.763492,101.0,5.119,0.055
153.784489,102.0,14.226,0.055
153.805506,103.0,9.252,0.055
153.826556,100.0,11.531,0.055
153.847583,101.0,5.173,0.055
153.868631,102.0,14.183,0.055
153.889659,103.0,9.19,0.055
153.910682,100.0,11.568,0.024
153.931725,101.0,5.222,0.055
153.952796,102.0,14.151,0.055
153.973834,103.0,9.106,0.024
153.996101,100.0,11.6,0.024
154.017147,101.0,5.281,0.055
154.03818,102.0,14.106,0.055
154.059225,103.0,9.037,0.055
154.080252,100.0,11.626,0.055
154.101286,101.0,5.342,0.055
154.122296,102.0,14.069,0.055
154.143294,103.0,8.963,0.055
